ID,Category Name,Flipkart Spends,Amazon Spends,Grocery spends online,Online food ordering,Other online spends,Other offline spends,Dining or going out,Fuel,School fees,Rent,Mobile phone bills,Electricity bills,Water bills,OTT channels,New monthly category 1,New monthly category 2,New monthly category 3,Hotels annual,Flights annual,Insurance health annual,Insurance car or bike annual,Large electronics purchase like mobile TV etc,All pharmacy,New category 1,New category 2,New category 3
26,StanC SCC,scb_2P,scb_2P,scb_2P,scb_2P,scb_2P,scb_1P,scb_1P,no_benefit,no_benefit,no_benefit,scb_2P,scb_2P,scb_2P,scb_2P,scb_2P,scb_2P,no_benefit,scb_2P,scb_2P,no_benefit,no_benefit,scb_2P,scb_2P,no_benefit,no_benefit,no_benefit
27,SBI SCCC,sbi_5RP,sbi_5RP,sbi_10RP,sbi_5RP,sbi_5RP,sbi_1RP,sbi_10RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,sbi_5RP,sbi_10RP,sbi_5RP,no_benefit,sbi_5RP,sbi_5RP,no_benefit,no_benefit,sbi_1RP,sbi_1RP,no_benefit,no_benefit,no_benefit
28,ICICI HSSCC,icici_2RP,icici_2RP,icici_2RP,icici_2RP,icici_2RP,icici_20RP,icici_2RP,icici_fuel_20RP,no_benefit,no_benefit,icici_20RP,icici_20RP,no_benefit,icici_2RP,icici_2RP,icici_2RP,no_benefit,icici_2RP,icici_2RP,no_benefit,no_benefit,icici_2RP,icici_2RP,no_benefit,no_benefit,no_benefit
29,ICICI HCVCC,icici_2RP,icici_2RP,icici_2RP,icici_2RP,icici_2RP,icici_2RP,icici_2RP,icici_10RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,icici_2RP,icici_2RP,icici_2RP,no_benefit,icici_2RP,icici_2RP,no_benefit,no_benefit,icici_2RP,icici_2RP,no_benefit,no_benefit,no_benefit
30,ICICI EPMCC,,,,,,,,,,,,,,,,,,,,,,,,,,
31,HSBC PCC,hsbc_2RP,hsbc_2RP,hsbc_2RP,hsbc_2RP,hsbc_2RP,hsbc_2RP,hsbc_2RP,no_benefit,no_benefit,no_benefit,hsbc_2RP,hsbc_2RP,hsbc_2RP,hsbc_2RP,hsbc_2RP,hsbc_2RP,no_benefit,hsbc_2RP,hsbc_2RP,hsbc_2RP,hsbc_2RP,hsbc_2RP,hsbc_2RP,no_benefit,no_benefit,no_benefit
33,IDFC FSCC,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,no_benefit,no_benefit,idfc_3RP_rent,idfc_1RP,idfc_1RP,idfc_1RP,idfc_3RP,idfc_3RP,idfc_3RP,no_benefit,idfc_3RP,idfc_3RP,idfc_1RP,idfc_1RP,idfc_3RP,idfc_3RP,no_benefit,no_benefit,no_benefit
34,IDFC FPPCC,idfc_3RP,idfc_3RP,idfc_30RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_3RP,idfc_30RP_fuel,no_benefit,no_benefit,idfc_30RP,idfc_30RP,idfc_30RP,idfc_3RP,idfc_3RP,idfc_3RP,no_benefit,idfc_3RP,idfc_3RP,no_benefit,no_benefit,idfc_3RP,idfc_3RP,no_benefit,no_benefit,no_benefit
35,INDUS ECC,indus_4RP,indus_4RP,indus_4RP,indus_10RP,indus_4RP,indus_10RP,indus_10RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,indus_4RP,indus_4RP,indus_4RP,no_benefit,indus_4RP,indus_4RP,no_benefit,no_benefit,indus_4RP,indus_4RP,no_benefit,no_benefit,no_benefit
36,INDUS LCC,indus_1.5RP,indus_1.5RP,indus_1.5RP,indus_1.5RP,indus_1.5RP,indus_1.5RP,indus_1.5RP,no_benefit,no_benefit,no_benefit,indus_1.5RP,indus_1.5RP,indus_1.5RP,indus_1.5RP,indus_1.5RP,indus_1.5RP,no_benefit,indus_1.5RP,indus_1.5RP,no_benefit,no_benefit,indus_1.5RP,indus_1.5RP,no_benefit,no_benefit,no_benefit
37,INDUS PRCC,indus_2RP,indus_2RP,indus_2RP,indus_2RP,indus_2RP,indus_2RP,indus_2RP,no_benefit,no_benefit,no_benefit,indus_1.5RP,indus_2RP,indus_2RP,indus_2RP,indus_2RP,indus_2RP,no_benefit,indus_2RP,indus_2RP,no_benefit,no_benefit,indus_2RP,indus_2RP,no_benefit,no_benefit,no_benefit
38,ICICI PCCC,icici_2RP,icici_2RP,icici_2RP,icici_2RP,icici_2RP,icici_2RP,icici_2RP,no_benefit,no_benefit,no_benefit,icici_1RP,icici_1RP,icici_1RP,icici_2RP,icici_2RP,icici_2RP,no_benefit,icici_2RP,icici_2RP,icici_1RP,icici_1RP,icici_2RP,icici_2RP,no_benefit,no_benefit,no_benefit
39,ICICI MMTPCC,icici_1P,icici_1P,icici_1P,icici_1P,icici_1P,icici_1P,icici_1P,icici_1P,icici_1P,no_benefit,icici_1P,icici_1P,icici_1P,icici_1P,no_benefit,no_benefit,no_benefit,icici_6P,icici_3P,icici_1P_cap,icici_1P_cap,icici_1P,icici_1P,icici_1P,icici_1P,icici_1P
40,IDFC CVCC,idfc_6CV,idfc_6CV,idfc_6CV,idfc_6CV,idfc_6CV,idfc_6CV,idfc_6CV,idfc_1CV,idfc_1CV,idfc_1CV,idfc_1CV,idfc_1CV,idfc_1CV,idfc_6CV,no_benefit,no_benefit,no_benefit,idfc_6CV,idfc_6CV,no_benefit,no_benefit,idfc_6CV,idfc_6CV,no_benefit,no_benefit,no_benefit
42,AXIS PCC,axis_10RP,axis_10RP,axis_10RP,axis_10RP,axis_10RP,axis_10RP,axis_10RP,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,no_benefit,axis_10RP,no_benefit,no_benefit,no_benefit,axis_10RP,axis_10RP,no_benefit,no_benefit,axis_10RP,axis_10RP,no_benefit,no_benefit,no_benefit
